_id,Name,Office phone,Website,LGA,Address,Suburb,Post code,Facility type,Latitude,Longitude
1,Aurukun Tip,(07) 4060 6800,http://aurukun.qld.gov.au,Aurukun Shire Council,3.5 Kms East of Aurukun,Aurukun,4871,Landfill,-13.350689,141.762644
2,Bollon Landfill,(07) 4620 8888,http://www.balonne.qld.gov.au,Balonne Shire Council,Balonne Hwy,Bollon,4488,Landfill,-28.028423,147.466715
3,Dirranbandi Landfill,(07) 4620 8888,http://www.balonne.qld.gov.au,Balonne Shire Council,Whyenbah Road,Dirranbandi,4486,Landfill,-28.561892,148.246103
4,Hebel Landfill,(07) 4620 8888,http://www.balonne.qld.gov.au/landfills ,Balonne Shire Council,Castlereagh Highway,Hebel,4486,Landfill,-28.977782,147.801585
5,St George Landfill,(07) 4620 8888,http://www.balonne.qld.gov.au,Balonne Shire Council,Kemp Road,St George,4487,Landfill,-28.065335,148.588035
6,Thallon Landfill,(07) 4620 8888,http://www.balonne.qld.gov.au,Balonne Shire Council,1km off Carnarvon Highway,Thallon,4497,Landfill,-28.646928,148.864592
7,Banana Transfer Station,(07) 4992 9500,http://www.banana.qld.gov.au,Banana Shire Council,Barfield Road,Banana,4702,Transfer station,-24.492026,150.184244
8,Baralaba Transfer Station,(07) 4992 9500,http://www.banana.qld.gov.au,Banana Shire Council,Ashfield Road Extension,Baralaba,4702,Transfer station,-24.190342,149.813593
9,Biloela Transfer Station,(07) 4992 9500,http://www.banana.qld.gov.au,Banana Shire Council,Linkes Road (WEBSITE says: Calvale Road),Biloela,4715,Transfer station,-24.384709,150.5454
10,Biloela Trap Gully Landfill,(07) 4992 9500,http://www.banana.qld.gov.au,Banana Shire Council,Forestry Road,Biloela,4715,Landfill,-24.284485,150.556892
11,Cracow Landfill,(07) 4992 9500,http://www.banana.qld.gov.au,Banana Shire Council,Nathan Gorge Road,Cracow,4719,Landfill,-25.308693,150.305032
12,Jambin Transfer Station,(07) 4992 9500,http://www.banana.qld.gov.au,Banana Shire Council,Jambin - Goovigen Road,Jambin,4702,Transfer station,-24.1909,150.361851
13,Moura Transfer Station and Landfill,(07) 4992 9500,http://www.banana.qld.gov.au,Banana Shire Council,Dawson Highway West of Moura,Moura,4718,Transfer station,-24.587855,149.957968
14,Taroom Landfill,(07) 4992 9500,http://www.banana.qld.gov.au,Banana Shire Council,Leichhardt Highway,Taroom,4420,Landfill,-25.652933,149.807848
15,Thangool Transfer Station,(07) 4992 9500,http://www.banana.qld.gov.au,Banana Shire Council,Cnr Burnett Highway and the Cocks - Millard Road,Thangool,4716,Transfer station,-24.494972,150.592667
16,Theodore Landfill,(07) 4992 9500,http://www.banana.qld.gov.au,Banana Shire Council,Goolaara - Heinekes Road,Theodore,4719,Transfer station,-24.911648,150.085172
